'INSERT INTO `dd_results` (`RaceDate`, `Start`, `Place`, `id`, `Boat`) VALUES
'1997-05-20', 1, 1, 452, 'Shakedown'
'1997-05-20', 1, 2, 452, 'Shoot the Moon'
'1997-05-20', 1, 3, 31, 'Airtight'
'1997-05-20', 2, 1, 693, 'Scat'
'1997-05-20', 2, 2, 694, 'Full Moon'
'1997-05-20', 2, 3, 150, 'Dreams'
'1997-05-20', 3, 1, 198, 'For Sale Santana 20'
'1997-05-20', 3, 2, 175, 'Foxy Lady'
'1997-05-20', 3, 3, 387, 'Polaris'
'1997-05-20', 4, 1, 512, 'Thistle'
'1997-05-20', 4, 2, 571, 'Wave'
'1997-05-20', 4, 3, 556, 'US #1764'
'1997-05-27', 1, 1, 322, 'Masked Man'
'1997-05-27', 1, 2, 452, 'Shoot the Moon'
'1997-05-27', 1, 3, 452, 'Shakedown'
'1997-05-27', 2, 1, 417, 'Retsina'
'1997-05-27', 2, 2, 150, 'Dreams'
'1997-05-27', 2, 3, 276, 'Jammer'
'1997-05-27', 3, 1, 254, 'Ignitor'
'1997-05-27', 3, 2, 689, '?'
'1997-05-27', 3, 3, 689, '?'
'1997-05-27', 4, 1, 571, 'Wave'
'1997-05-27', 4, 2, 689, '?'
'1997-05-27', 4, 3, 689, '?'
'1997-06-03', 1, 1, 452, 'Shoot the Moon'
'1997-06-03', 1, 2, 125, 'Deviant'
'1997-06-03', 1, 3, 149, 'Drum'
'1997-06-03', 2, 1, 484, 'Sonata'
'1997-06-03', 2, 2, 150, 'Dreams'
'1997-06-03', 2, 3, 693, 'Scat'
'1997-06-03', 3, 1, 175, 'Foxy Lady'
'1997-06-03', 3, 2, 198, 'For Sale Santana 20'
'1997-06-03', 3, 3, 623, 'Yankee II'
'1997-06-03', 4, 1, 682, '505 #6987'
'1997-06-03', 4, 2, 428, 'SYC #3'
'1997-06-03', 4, 3, 556, 'Whip/Wavelength/US #121'
'1997-06-10', 1, 1, 268, 'JUBILEE'
'1997-06-10', 1, 2, 322, 'Masked Man'
'1997-06-10', 1, 3, 452, 'Shakedown'
'1997-06-10', 2, 1, 77, 'Breathless'
'1997-06-10', 2, 2, 276, 'Jammer'
'1997-06-10', 2, 3, 484, 'Sonata'
'1997-06-10', 3, 1, 486, 'Santana 21 #584'
'1997-06-10', 3, 2, 599, 'Winkie'
'1997-06-10', 3, 3, 623, 'Yankee II'
'1997-06-10', 4, 1, 589, 'Wiley Cat'
'1997-06-10', 4, 2, 428, 'SYC #6'
'1997-06-10', 4, 3, 428, 'SYC #2'
'1997-06-17', 1, 1, 380, 'Ptolemy'
'1997-06-17', 1, 2, 452, 'Shoot the Moon'
'1997-06-17', 1, 3, 322, 'Masked Man'
'1997-06-17', 2, 1, 484, 'Sonata'
'1997-06-17', 2, 2, 78, 'Breathless Mahoney'
'1997-06-17', 2, 3, 693, 'Scat'
'1997-06-17', 3, 1, 421, 'Romping Roy'
'1997-06-17', 3, 2, 623, 'Yankee II'
'1997-06-17', 3, 3, 8, 'April Love'
'1997-06-17', 4, 1, 325, 'Mexicali Rose'
'1997-06-17', 4, 2, 348, 'N/A'
'1997-06-17', 4, 3, 348, 'N/A'
'1997-06-24', 1, 1, 463, 'Stars & Stripes'
'1997-06-24', 1, 2, 322, 'Masked Man'
'1997-06-24', 1, 3, 590, 'Wall St. Duck'
'1997-06-24', 2, 1, 325, 'Mexicali Rose'
'1997-06-24', 2, 2, 228, 'High Frequency'
'1997-06-24', 2, 3, 693, 'Scat'
'1997-06-24', 3, 1, 197, 'For Sale'
'1997-06-24', 3, 2, 387, 'Polaris'
'1997-06-24', 3, 3, 599, 'Winky'
'1997-06-24', 4, 1, 664, '1982'
'1997-06-24', 4, 2, 665, '2376'
'1997-06-24', 4, 3, 428, 'SYC #2'
'1997-07-01', 1, 1, 322, 'Masked Man'
'1997-07-01', 1, 2, 463, 'Stars & Stripes'
'1997-07-01', 1, 3, 590, 'Wall St. Duck'
'1997-07-01', 2, 1, 228, 'High Frequency'
'1997-07-01', 2, 2, 150, 'Dreams'
'1997-07-01', 2, 3, 348, 'N/A'
'1997-07-01', 3, 1, 486, 'Santana 20 #24'
'1997-07-01', 3, 2, 387, 'Polaris'
'1997-07-01', 3, 3, 486, 'Santana 20 #116'
'1997-07-01', 4, 1, 512, 'Thistle'
'1997-07-01', 4, 2, 572, 'Waveling'
'1997-07-01', 4, 3, 428, 'SYC #6'
'1997-07-08', 1, 1, 322, 'Masked Man'
'1997-07-08', 1, 2, 312, 'Moon'
'1997-07-08', 1, 3, 575, 'Wave Runner'
'1997-07-08', 2, 1, 179, 'Fat Chance'
'1997-07-08', 2, 2, 693, 'Scat'
'1997-07-08', 2, 3, 95, 'Cal 27 "29590"'
'1997-07-08', 3, 1, 387, 'Polaris'
'1997-07-08', 3, 2, 254, 'Ignitor'
'1997-07-08', 3, 3, 623, 'Yankee II'
'1997-07-08', 4, 1, 428, 'SYC #4'
'1997-07-08', 4, 2, 316, 'Magic Bus'
'1997-07-08', 4, 3, 557, 'Whip/Wavelength/US #121'
'1997-07-15', 1, 1, 590, 'Wall St. Duck'
'1997-07-15', 1, 2, 322, 'Masked Man'
'1997-07-15', 1, 3, 452, 'Shoot the Moon'
'1997-07-15', 2, 1, 228, 'High Frequency'
'1997-07-15', 2, 2, 693, 'Scat'
'1997-07-15', 2, 3, 512, 'Thistle'
'1997-07-15', 3, 1, 486, 'Santana 20 #116'
'1997-07-15', 3, 2, 387, 'Polaris'
